Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides
conv_layer0,224,224,7,7,3,64,2,
conv_layer1,56,56,1,1,64,64,1,
conv_layer2,56,56,3,3,64,64,1,
conv_layer3,56,56,1,1,64,256,1,
conv_layer4,56,56,1,1,64,256,1,
conv_layer5,56,56,1,1,256,64,1,
conv_layer6,56,56,3,3,64,64,1,
conv_layer7,56,56,1,1,64,256,1,
conv_layer8,56,56,1,1,256,64,1,
conv_layer9,56,56,3,3,64,64,1,
conv_layer10,56,56,1,1,64,256,1,
conv_layer11,56,56,1,1,256,128,1,
conv_layer12,56,56,3,3,128,128,2,
conv_layer13,28,28,1,1,128,512,1,
conv_layer14,56,56,1,1,256,512,2,
conv_layer15,28,28,1,1,512,128,1,
conv_layer16,28,28,3,3,128,128,1,
conv_layer17,28,28,1,1,128,512,1,
conv_layer18,28,28,1,1,512,128,1,
conv_layer19,28,28,3,3,128,128,1,
conv_layer20,28,28,1,1,128,512,1,
conv_layer21,28,28,1,1,512,128,1,
conv_layer22,28,28,3,3,128,128,1,
conv_layer23,28,28,1,1,128,512,1,
conv_layer24,28,28,1,1,512,256,1,
conv_layer25,28,28,3,3,256,256,2,
conv_layer26,14,14,1,1,256,1024,1,
conv_layer27,28,28,1,1,512,1024,2,
conv_layer28,14,14,1,1,1024,256,1,
conv_layer29,14,14,3,3,256,256,1,
conv_layer30,14,14,1,1,256,1024,1,
conv_layer31,14,14,1,1,1024,256,1,
conv_layer32,14,14,3,3,256,256,1,
conv_layer33,14,14,1,1,256,1024,1,
conv_layer34,14,14,1,1,1024,256,1,
conv_layer35,14,14,3,3,256,256,1,
conv_layer36,14,14,1,1,256,1024,1,
conv_layer37,14,14,1,1,1024,256,1,
conv_layer38,14,14,3,3,256,256,1,
conv_layer39,14,14,1,1,256,1024,1,
conv_layer40,14,14,1,1,1024,256,1,
conv_layer41,14,14,3,3,256,256,1,
conv_layer42,14,14,1,1,256,1024,1,
conv_layer43,14,14,1,1,1024,512,1,
conv_layer44,14,14,3,3,512,512,2,
conv_layer45,7,7,1,1,512,2048,1,
conv_layer46,14,14,1,1,1024,2048,2,
conv_layer47,7,7,1,1,2048,512,1,
conv_layer48,7,7,3,3,512,512,1,
conv_layer49,7,7,1,1,512,2048,1,
conv_layer50,7,7,1,1,2048,512,1,
conv_layer51,7,7,3,3,512,512,1,
conv_layer52,7,7,1,1,512,2048,1,
